code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,A2025,"Miro3d, per cubic centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2026,"Restrata minimatrix, 5 mg",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2027,"Matriderm, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2028,"Micromatrix flex, per mg",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2029,"Mirotract wound matrix sheet, per cubic centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2030,"Miro3d fibers, per milligram",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2031,"Mirodry wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2032,"Myriad matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2033,"Myriad morcells, 4 milligrams",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2034,"Foundation drs solo, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2035,"Corplex p or theracor p or allacor p, per milligram",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2036,"Cohealyx collagen dermal matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2037,"G4derm plus/suprello, per milliliter",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2038,"Marigen pacto, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2039,"Innovamatrix fd, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2040,"Microlyte painguard, per square centimeter",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2041,"Foundation drs+ duo, per square centimeter",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2042,"Foundation drs+ solo, per square centimeter",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2043,"Biobrane, per square centimeter",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2044,"Biobrane glove, each",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2045,"Novashield or novogen wound matrix, per square centimeter",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A4100,"Non-sheet form skin substitute, fda cleared as a device, not otherwise specified (list in addition to primary procedure)",,A4100-A4100,Skin Substitute Device,,,,,,,,,,
HCPCS,A4206,"Syringe with needle, sterile, 1 cc or less, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4207,"Syringe with needle, sterile 2 cc, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4208,"Syringe with needle, sterile 3 cc, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4209,"Syringe with needle, sterile 5 cc or greater, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4210,"Needle-free injection device, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4211,Supplies for self-administered injections,,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4212,Non-coring needle or stylet with or without catheter,,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4213,"Syringe, sterile, 20 cc or greater, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4215,"Needle, sterile, any size, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4217,"Sterile water/saline, 500 ml",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4218,"Sterile saline or water, metered dose dispenser, 10 ml",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4220,Refill kit for implantable infusion pump,,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4221,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs separately)",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4223,"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4224,"Supplies for maintenance of insulin infusion catheter, per week",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4226,"Supplies for maintenance of insulin infusion pump with dosage rate adjustment using therapeutic continuous glucose sensing, per week",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4230,"Infusion set for external insulin pump, non needle cannula type",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
